column,original,imputed
annual_inc_joint,Nan,0.0
home_ownership,ANY,OTHER
emp_length,8 years,8.0
emp_length,10+ years,10.0
emp_length,3 years,3.0
emp_length,4 years,4.0
emp_length,2 years,2.0
emp_length,< 1 year,0.5
emp_length,9 years,9.0
emp_length,6 years,6.0
emp_length,1 year,1.0
emp_length,7 years,7.0
emp_length,5 years,5.0
addr_state,NV,32.0
addr_state,OK,35.0
addr_state,OR,36.0
addr_state,CA,4.0
addr_state,VA,44.0
addr_state,TX,42.0
addr_state,MA,18.0
addr_state,IL,13.0
addr_state,NY,33.0
addr_state,MD,19.0
addr_state,MN,22.0
addr_state,FL,9.0
addr_state,NC,26.0
addr_state,CT,6.0
addr_state,IN,14.0
addr_state,MO,23.0
addr_state,CO,5.0
addr_state,NJ,30.0
addr_state,AR,2.0
addr_state,AZ,3.0
addr_state,LA,17.0
addr_state,TN,41.0
addr_state,GA,10.0
addr_state,WA,46.0
addr_state,OH,34.0
addr_state,KY,16.0
addr_state,DE,8.0
addr_state,PA,37.0
addr_state,WI,47.0
addr_state,RI,38.0
addr_state,ME,20.0
addr_state,NM,31.0
addr_state,ND,27.0
addr_state,UT,43.0
addr_state,MS,24.0
addr_state,MI,21.0
addr_state,WY,49.0
addr_state,AL,1.0
addr_state,SC,39.0
addr_state,AK,0.0
addr_state,SD,40.0
addr_state,WV,48.0
addr_state,NE,28.0
addr_state,ID,12.0
addr_state,HI,11.0
addr_state,MT,25.0
addr_state,KS,15.0
addr_state,NH,29.0
addr_state,DC,7.0
addr_state,VT,45.0
state,NV,32.0
state,OK,35.0
state,OR,36.0
state,CA,4.0
state,VA,44.0
state,TX,42.0
state,MA,18.0
state,IL,13.0
state,NY,33.0
state,MD,19.0
state,MN,22.0
state,FL,9.0
state,NC,26.0
state,CT,6.0
state,IN,14.0
state,MO,23.0
state,CO,5.0
state,NJ,30.0
state,AR,2.0
state,AZ,3.0
state,LA,17.0
state,TN,41.0
state,GA,10.0
state,WA,46.0
state,OH,34.0
state,KY,16.0
state,DE,8.0
state,PA,37.0
state,WI,47.0
state,RI,38.0
state,ME,20.0
state,NM,31.0
state,ND,27.0
state,UT,43.0
state,MS,24.0
state,MI,21.0
state,WY,49.0
state,AL,1.0
state,SC,39.0
state,AK,0.0
state,SD,40.0
state,WV,48.0
state,NE,28.0
state,ID,12.0
state,HI,11.0
state,MT,25.0
state,KS,15.0
state,NH,29.0
state,DC,7.0
state,VT,45.0
purpose,credit_card,1.0
purpose,debt_consolidation,2.0
purpose,other,8.0
purpose,home_improvement,3.0
purpose,house,4.0
purpose,medical,6.0
purpose,small_business,10.0
purpose,car,0.0
purpose,major_purchase,5.0
purpose,vacation,11.0
purpose,moving,7.0
purpose,wedding,12.0
purpose,renewable_energy,9.0
letter_grade,B,1.0
letter_grade,C,2.0
letter_grade,D,3.0
letter_grade,A,0.0
letter_grade,E,4.0
letter_grade,F,5.0
letter_grade,G,6.0
grade,7,B
grade,11,C
grade,15,C
grade,13,C
grade,20,D
grade,6,B
grade,9,B
grade,10,B
grade,12,C
grade,1,A
grade,3,A
grade,16,D
grade,14,C
grade,2,A
grade,18,D
grade,4,A
grade,19,D
grade,17,D
grade,23,E
grade,27,F
grade,8,B
grade,24,E
grade,5,A
grade,21,E
grade,28,F
grade,25,E
grade,30,F
grade,22,E
grade,26,F
grade,33,G
grade,29,F
grade,31,G
grade,35,G
grade,34,G
grade,32,G
