feature,grade,imputed_value
int_rate,6.0,0.1099
int_rate,8.0,0.124
int_rate,10.0,0.1099
int_rate,12.0,0.1399
int_rate,1.0,0.0819
int_rate,20.0,0.2
int_rate,2.0,0.0819
int_rate,13.0,0.1399
int_rate,4.0,0.0819
int_rate,25.0,0.1825
int_rate,5.0,0.0532
int_rate,9.0,0.1199
int_rate,15.0,0.1399
int_rate,11.0,0.1399
int_rate,3.0,0.0819
int_rate,14.0,0.1399
int_rate,18.0,0.1699
int_rate,17.0,0.1699
int_rate,16.0,0.1699
int_rate,7.0,0.1099
int_rate,22.0,0.1825
int_rate,19.0,0.1699
int_rate,23.0,0.1999
int_rate,31.0,0.258
int_rate,21.0,0.2099
int_rate,24.0,0.1899
int_rate,27.0,0.2969
int_rate,29.0,0.2499
int_rate,33.0,0.2489
int_rate,35.0,0.3079
int_rate,26.0,0.2399
int_rate,30.0,0.2872
int_rate,28.0,0.2499
int_rate,34.0,0.2583
int_rate,32.0,0.3079
